"Step","Group: gd-repair - Mean Cost","Group: gd-repair - Mean Cost__MIN","Group: gd-repair - Mean Cost__MAX","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX","Group: reinforce-predict-repair - Mean Cost","Group: reinforce-predict-repair - Mean Cost__MIN","Group: reinforce-predict-repair - Mean Cost__MAX","Group: gd-predict-repair - Mean Cost","Group: gd-predict-repair - Mean Cost__MIN","Group: gd-predict-repair - Mean Cost__MAX","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX"
"0","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.6192366629838943","0.5444268584251404","0.8029962182044983"
"1","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.4592001736164093","0.304534375667572","0.6011190414428711","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.6192366629838943","0.5444268584251404","0.8029962182044983","0.4592001736164093","0.304534375667572","0.6011190414428711"
"2","0.30788516998291016","0.2503264546394348","0.39050719141960144","0.20624875277280807","0.14633311331272125","0.2918561100959778","0.35055356472730637","0.29443392157554626","0.47531935572624207","0.30674364417791367","0.25292298197746277","0.38973575830459595","0.23280217498540878","0.15083710849285126","0.3246604800224304"
"3","0.2915697693824768","0.2380136251449585","0.3514692485332489","0.1112415986135602","0.03413502499461174","0.15206271409988403","0.35036832094192505","0.2944445013999939","0.47495564818382263","0.25063851475715637","0.18773986399173737","0.2932271659374237","0.1448301812633872","0.03094078227877617","0.22477813065052032"
"4","0.26838187128305435","0.23671042919158936","0.3175662159919739","0.052201707381755114","0.01157151348888874","0.09073959290981293","0.3501674383878708","0.2944393754005432","0.4745798408985138","0.21124402806162834","0.14571891725063324","0.25177305936813354","0.0970679777674377","0.011430410668253899","0.176264226436615"
"5","0.2625711001455784","0.23528563976287842","0.3377833366394043","0.020128609146922827","0.0044428519904613495","0.04537195712327957","0.3499393090605736","0.2944369912147522","0.4742048680782318","0.18212327919900417","0.1166950985789299","0.23292715847492218","0.0649868871551007","0.00493359100073576","0.12163207679986954"
"6","0.2559463158249855","0.22271572053432465","0.3363893926143646","0.01582999248057604","0.006376969628036022","0.028071152046322823","0.34978820383548737","0.294451504945755","0.47401565313339233","0.16295957006514072","0.10894643515348434","0.21873416006565094","0.040374709060415626","0.011721811257302761","0.07236020267009735"
"7","0.25113125890493393","0.20772895216941833","0.33466315269470215","0.00851824035635218","0.00249529373832047","0.01558306161314249","0.3495401367545128","0.29442524909973145","0.4737790524959564","0.14629826322197914","0.10689259320497513","0.19245116412639618","0.0140534263337031","0.006188719067722559","0.02060137316584587"
"8","0.2438986748456955","0.18344642221927643","0.33263668417930603","0.0053757549612782896","0.003744608024135232","0.008688320405781269","0.3492676541209221","0.2944183647632599","0.47329002618789673","0.12768473289906979","0.09040801972150803","0.17152410745620728","0.012260897317901254","0.00549672357738018","0.023309940472245216"
"9","0.23418569937348366","0.16630902886390686","0.31365451216697693","0.0047122162650339305","0.0032861100044101477","0.006259152200073004","0.3490409478545189","0.2944151759147644","0.47275587916374207","0.10259437747299671","0.06897292286157608","0.1539967656135559","0.01266079128254205","0.005550595466047525","0.02765420451760292"
"10","0.2349761538207531","0.15001286566257477","0.3359248638153076","0.003948441881220788","0.0023287825752049685","0.007354353554546833","0.348869688808918","0.2943880259990692","0.47245046496391296","0.08731518592685461","0.05369303748011589","0.1375325620174408","0.005474460136611015","0.0022031019907444715","0.009299786761403084"