"Step","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX"
"0","498.6306610107422","383.3182678222656","608.1650390625","498.6306610107422","383.3182678222656","608.1650390625"
"1","100.24869155883789","65.06895446777344","118.4364242553711","442.9816665649414","334.5257873535156","551.7304077148438"
"2","42.48063278198242","31.431392669677734","50.44533157348633","391.82881927490234","296.8255615234375","491.30914306640625"
"3","27.58895492553711","20.911460876464844","33.3663215637207","346.8798370361328","260.7573547363281","421.4383544921875"
"4","22.69119167327881","20.764020919799805","24.188438415527344","307.4167900085449","225.58302307128906","378.0182800292969"
"5","22.09777021408081","19.77208709716797","23.4559268951416","273.9487533569336","199.54522705078125","341.16644287109375"
"6","22.29517126083374","20.72444725036621","24.905794143676758","246.71809005737305","169.46328735351562","294.42364501953125"
"7","21.952028274536133","21.149028778076172","22.549169540405273","233.37334823608398","157.1890869140625","271.6227111816406"
"8","22.568650245666504","21.870601654052734","23.164539337158203","212.81903457641602","141.04150390625","251.89401245117188"
"9","24.75971508026123","22.016027450561523","27.39748191833496","207.6182746887207","143.26734924316406","248.4492645263672"
"10","24.72769069671631","22.612478256225586","26.213390350341797","198.85554122924805","150.5746612548828","244.4234161376953"
"11","26.25205421447754","22.733850479125977","28.597129821777344","192.04141235351562","149.07618713378906","241.4248809814453"
"12","28.345436096191406","24.87080192565918","31.08823585510254","189.62575149536133","143.26815795898438","245.34481811523438"
"13","29.1909441947937","25.869064331054688","31.727798461914062","185.76382446289062","142.77500915527344","241.32894897460938"
"14","30.669952392578125","24.732826232910156","35.57075119018555","181.81816482543945","144.75465393066406","233.25003051757812"
"15","31.177521228790283","24.792173385620117","34.7091178894043","179.93061065673828","139.84344482421875","236.11288452148438"
"16","31.645697593688965","25.039806365966797","34.92790603637695","179.0024642944336","138.2191619873047","235.0142059326172"
"17","31.932440280914307","24.9235782623291","36.35472869873047","178.53605270385742","136.57644653320312","232.8938446044922"
"18","31.795875072479248","24.664087295532227","34.75675582885742","179.87822341918945","138.47427368164062","237.98666381835938"
"19","32.37591314315796","24.634111404418945","36.289161682128906","179.37798309326172","139.8363494873047","242.75296020507812"
"20","31.96644639968872","24.928110122680664","36.282432556152344","176.0747184753418","136.30372619628906","240.93185424804688"
"21","33.780527114868164","25.579345703125","37.913185119628906","175.95171356201172","132.89161682128906","242.56248474121094"
"22","38.63843107223511","26.051298141479492","49.87164306640625","173.15120697021484","126.00680541992188","242.9303436279297"
"23","37.458659648895264","25.44215965270996","42.33588790893555","173.99779891967773","132.54188537597656","240.70071411132812"
"24","38.20458269119263","25.185415267944336","48.586097717285156","175.70376586914062","130.49557495117188","245.44473266601562"
"25","38.32690382003784","25.18128776550293","46.91934585571289","177.09917068481445","128.7855682373047","255.0532989501953"
"26","37.789095401763916","26.57875633239746","44.46428298950195","182.34555053710938","138.16650390625","260.2917175292969"
"27","39.44936513900757","27.29558753967285","45.51744079589844","181.39715957641602","138.3744354248047","267.1702575683594"
"28","41.68200397491455","30.331069946289062","47.76799392700195","179.58592987060547","134.1798858642578","264.1439514160156"
"29","45.85277223587036","30.021543502807617","57.66352844238281","178.5152816772461","139.0133819580078","261.98614501953125"
"30","50.69572925567627","31.252208709716797","74.48797607421875","180.37298583984375","139.19570922851562","265.6085205078125"
"31","50.669230461120605","32.43754959106445","73.60295867919922","184.015869140625","145.155517578125","261.66204833984375"
"32","50.83771467208862","31.598642349243164","74.26026916503906","185.5249481201172","147.87841796875","261.06597900390625"
"33","53.15269088745117","34.511539459228516","75.9046401977539","189.98402786254883","149.2660675048828","269.1626892089844"
"34","53.0123176574707","35.56979751586914","66.51679229736328","188.8010368347168","150.1186981201172","266.9667053222656"
"35","58.39425754547119","38.12936782836914","86.52574157714844","194.36246490478516","161.82472229003906","259.68670654296875"
"36","62.681304931640625","37.3300895690918","94.5406265258789","192.2825584411621","156.02508544921875","257.7248840332031"
"37","63.227521896362305","38.038055419921875","95.53182220458984","193.7592887878418","162.00474548339844","250.10519409179688"
"38","65.70865535736084","39.607383728027344","92.85688781738281","195.24877548217773","159.12225341796875","251.8452606201172"
"39","65.56999588012695","41.279300689697266","90.08472442626953","199.01803970336914","155.8111572265625","261.9088439941406"
"40","67.69445323944092","38.188419342041016","94.90058135986328","198.6849136352539","154.95452880859375","260.19696044921875"
"41","68.13202667236328","42.1796989440918","86.20259857177734","201.3790740966797","157.16188049316406","267.6261901855469"
"42","69.68428993225098","48.22802734375","84.55964660644531","207.3004493713379","163.09112548828125","269.8409423828125"
"43","70.03699779510498","44.94778823852539","91.9088134765625","210.09941864013672","172.2229766845703","267.2010803222656"
"44","71.6814432144165","54.14549255371094","90.42058563232422","208.39161682128906","174.78372192382812","262.4357604980469"
"45","74.64016532897949","56.24071502685547","89.60372161865234","211.12018966674805","185.57138061523438","264.3647766113281"
"46","77.88196849822998","57.616703033447266","99.16372680664062","211.50289154052734","182.0820770263672","269.8300476074219"
"47","80.51621723175049","58.41667556762695","101.80435943603516","212.7533187866211","182.45472717285156","272.5659484863281"
"48","80.94690322875977","61.810699462890625","97.79546356201172","216.71850967407227","186.2684326171875","270.9452209472656"
"49","80.92538642883301","58.0611572265625","97.71737670898438","216.66863632202148","182.68968200683594","273.1096496582031"
"50","82.6037826538086","57.64983367919922","102.22333526611328","217.58309173583984","183.8531494140625","272.35650634765625"
"51","83.14234733581543","59.40514373779297","103.1178970336914","220.82576751708984","184.4463348388672","277.31689453125"
"52","81.67149448394775","59.06806564331055","97.6456298828125","226.34470748901367","195.52479553222656","280.2748107910156"
"53","84.17605304718018","59.566524505615234","97.43372344970703","223.6053810119629","194.1343536376953","282.0021057128906"
"54","83.8331241607666","60.810699462890625","97.43372344970703","230.8520393371582","200.46827697753906","280.5708923339844"
"55","84.44855690002441","60.810699462890625","96.62532806396484","230.8276138305664","204.06570434570312","284.825439453125"
"56","83.50252342224121","60.623931884765625","96.62532806396484","231.65132904052734","199.4864501953125","287.9613037109375"
"57","82.96932411193848","60.623931884765625","96.92912292480469","238.2141571044922","201.9645233154297","297.2727355957031"
"58","87.37778854370117","60.829345703125","97.86702728271484","238.25688552856445","197.2163543701172","303.1004943847656"
"59","83.7332280476888","60.829345703125","97.43028259277344","237.4541778564453","194.9015350341797","299.9098205566406"
"60","84.96777089436848","60.829345703125","97.41411590576172","242.05218505859375","199.22921752929688","305.68145751953125"
"61","82.61153157552083","60.829345703125","97.66351318359375","240.08026123046875","198.40887451171875","303.7110290527344"
"62","89.24496459960938","60.829345703125","111.87007141113281","241.29192352294922","199.81021118164062","309.9312744140625"
"63","89.34573745727539","60.15009689331055","112.88556671142578","241.9824981689453","198.6985626220703","317.5832214355469"
"64","99.57126998901367","80.67243957519531","118.47010040283203","247.58807373046875","203.11846923828125","324.23590087890625"
"65","106.27145767211914","78.31969451904297","134.2232208251953","254.21810150146484","213.07635498046875","327.7703552246094"
"66","138.10386657714844","138.10386657714844","138.10386657714844","262.0089454650879","227.23960876464844","334.46258544921875"
"67","","","","260.63654708862305","229.07247924804688","336.1112365722656"
"68","","","","262.2672882080078","229.43495178222656","345.7406311035156"
"69","","","","263.76486587524414","229.92926025390625","342.5792541503906"
"70","","","","274.0611915588379","237.48336791992188","357.1727600097656"
"71","","","","279.13439559936523","239.33309936523438","352.5376281738281"
"72","","","","282.9059944152832","234.3975372314453","359.82379150390625"
"73","","","","288.0760192871094","245.27615356445312","360.4768981933594"
"74","","","","287.45045471191406","246.48898315429688","357.479736328125"
"75","","","","294.74263763427734","252.07510375976562","370.23614501953125"
"76","","","","303.6477279663086","255.87057495117188","374.7403869628906"
"77","","","","303.82384490966797","255.02713012695312","370.26434326171875"
"78","","","","308.081787109375","270.7972717285156","364.1115417480469"
"79","","","","307.56788635253906","267.322998046875","362.8855285644531"
"80","","","","305.4320602416992","261.83447265625","360.0401306152344"
"81","","","","313.13819122314453","279.03369140625","363.8898010253906"
"82","","","","316.3840103149414","279.5764465332031","372.1450500488281"
"83","","","","316.6531753540039","275.0898132324219","371.7962646484375"
"84","","","","316.9351348876953","275.21575927734375","369.1712951660156"
"85","","","","319.3718795776367","274.6409606933594","373.34869384765625"
"86","","","","324.13668060302734","276.7848815917969","385.8412170410156"
"87","","","","327.710693359375","272.98095703125","390.257080078125"
"88","","","","327.6534423828125","270.6706237792969","394.8193359375"
"89","","","","328.02410888671875","278.4604187011719","392.0581359863281"
"90","","","","331.5624771118164","281.91131591796875","406.3835144042969"
"91","","","","334.9494400024414","288.70989990234375","406.0745849609375"
"92","","","","333.28722381591797","285.4861755371094","403.48016357421875"
"93","","","","327.743896484375","281.11285400390625","398.9425048828125"
"94","","","","331.11165618896484","284.62347412109375","405.62469482421875"
"95","","","","334.4602813720703","283.4547119140625","409.5021057128906"
"96","","","","340.4069290161133","297.4364318847656","412.3314514160156"
"97","","","","339.7579116821289","293.6036682128906","419.7941589355469"
"98","","","","337.4241256713867","294.64202880859375","411.6690368652344"
"99","","","","338.44933319091797","293.5159912109375","419.6708984375"
"100","","","","339.5704116821289","286.1620788574219","416.2689514160156"